"DATUM","TYP","VOM KONTO","ZUM KONTO / ZUR KATEGORIE","BETRAG","WÄHRUNG","BETRAG 2","WÄHRUNG 2","BEZEICHNUNGEN","NOTIZEN"
"25.12.19","Ausgabe","Girokarte","Lebensmittel","6.5","EUR","6.5","EUR","",""
"23.12.19","Ausgabe","Girokarte","Weiterbildung","10","EUR","10","EUR","",""
"23.12.19","Ausgabe","Girokarte"," Sonstiges (Allgemein)","36","EUR","36","EUR","","Weihnachtsgeschenke"
"22.12.19","Ausgabe","Girokarte","Abonnenements ","6.99","EUR","6.99","EUR","","Brain.fnlm"
"21.12.19","Ausgabe","Girokarte","Lebensmittel","4.27","EUR","4.27","EUR","",""
"20.12.19","Ausgabe","Girokarte","Lebensmittel","4.6","EUR","4.6","EUR","",""
"19.12.19","Ausgabe","Girokarte","Allgemein","26","EUR","26","EUR","","Friseur"
"18.12.19","Ausgabe","Girokarte","Freizeit","1","EUR","1","EUR","",""
"18.12.19","Ausgabe","Girokarte","Freizeit","14","EUR","14","EUR","",""
"18.12.19","Ausgabe","Girokarte","Lebensmittel","5.51","EUR","5.51","EUR","",""
"18.12.19","Ausgabe","Girokarte","Allgemein","8.9","EUR","8.9","EUR","","Key office "
"17.12.19","Ausgabe","Girokarte","Gesundheit","2.99","EUR","2.99","EUR","",""
"17.12.19","Ausgabe","Girokarte","Weiterbildung","24.95","EUR","24.95","EUR","","Audible guthaben"
"17.12.19","Ausgabe","Girokarte","Freizeit","14","EUR","14","EUR","",""
"17.12.19","Ausgabe","Girokarte","Lebensmittel","15.75","EUR","15.75","EUR","",""
"17.12.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","4.25","EUR","4.25","EUR","",""
"17.12.19","Ausgabe","Girokarte","Allgemein","4.99","EUR","4.99","EUR","",""
"16.12.19","Ausgabe","Girokarte","Freizeit","10","EUR","10","EUR","",""
"16.12.19","Ausgabe","Girokarte","Lebensmittel","5","EUR","5","EUR","",""
"15.12.19","Ausgabe","Girokarte","Reisen","23","EUR","23","EUR","",""
"15.12.19","Ausgabe","Girokarte","Reisen","3.2","EUR","3.2","EUR","",""
"15.12.19","Ausgabe","Girokarte","Reisen","25.27","EUR","25.27","EUR","",""
"14.12.19","Ausgabe","Girokarte","Freizeit","31","EUR","31","EUR","",""
